iter	MultiClass
0	2.24806838
1	2.128290062
2	2.032192507
3	1.949692905
4	1.861820772
5	1.79324338
6	1.737238972
7	1.680351384
8	1.618678509
9	1.576463449
10	1.534228701
11	1.483788296
12	1.445038109
13	1.409077003
14	1.36836762
15	1.321758595
16	1.28892502
17	1.256969232
18	1.230943438
19	1.202676753
20	1.172863122
21	1.140302054
22	1.109705666
23	1.085146539
24	1.059165052
25	1.033277644
26	1.009223455
27	0.9855012104
28	0.954900456
29	0.9389521288
30	0.9219400225
31	0.9056482967
32	0.8881268963
33	0.8675493321
34	0.8548638629
35	0.8334103542
36	0.8172231163
37	0.8076583873
38	0.7916285662
39	0.7812423224
40	0.7651265615
41	0.7540964897
42	0.7449324752
43	0.7302759382
44	0.714098994
45	0.7034683437
46	0.69012826
47	0.6805116562
48	0.6670956575
49	0.6571257539
50	0.6446921162
51	0.6380304906
52	0.6227689195
53	0.6114601563
54	0.6056177716
55	0.5985356719
56	0.5889241933
57	0.577879424
58	0.5669868485
59	0.5588527857
60	0.5519861299
61	0.5448452294
62	0.5355059302
63	0.5292929828
64	0.520848919
65	0.5124196407
66	0.5053516251
67	0.4999797541
68	0.4928280699
69	0.4884636609
70	0.4847247748
71	0.4806363346
72	0.475259515
73	0.466926353
74	0.4609601263
75	0.4550298775
76	0.4483919034
77	0.442337964
78	0.4355955849
79	0.4290271938
80	0.4231684393
81	0.4171875425
82	0.4097704931
83	0.4012607144
84	0.3957091634
85	0.3887350506
86	0.3831103445
87	0.3789564976
88	0.3725198684
89	0.3687944241
90	0.3633155332
91	0.3601396326
92	0.3559007805
93	0.3533015835
94	0.3498767179
95	0.3456470392
96	0.3413698854
97	0.3371932362
98	0.3321090396
99	0.3289685279
100	0.3229093717
101	0.318944442
102	0.3147206894
103	0.3098875203
104	0.3063799477
105	0.3032668839
106	0.299956566
107	0.2962520558
108	0.2935250906
109	0.2916562315
110	0.2876211087
111	0.2847196671
112	0.2810190468
113	0.2777405773
114	0.2761022017
115	0.2732950528
116	0.2704608873
117	0.2676240405
118	0.2650592181
119	0.2624827415
120	0.2589456435
121	0.2571555673
122	0.2538702462
123	0.2516531437
124	0.2489898825
125	0.2457880238
126	0.2430613984
127	0.2413213989
128	0.2387942339
129	0.2361816752
130	0.2329306945
131	0.231181582
132	0.2287514659
133	0.2266496099
134	0.2240926919
135	0.2223089605
136	0.2195637214
137	0.2171946979
138	0.2148745038
139	0.2118406403
140	0.2100373589
141	0.2077613709
142	0.2060792285
143	0.2042078161
144	0.2026588435
145	0.2007797875
146	0.1986777186
147	0.1959729603
148	0.1941538632
149	0.1923705839
150	0.1901089663
151	0.1884077444
152	0.1859400408
153	0.1834390983
154	0.1814671036
155	0.1789814522
156	0.1772974138
157	0.1750062055
158	0.1738945212
159	0.1721470966
160	0.1704003349
161	0.1691589258
162	0.1672082614
163	0.166073726
164	0.1642389655
165	0.1629120374
166	0.1615106831
167	0.1598030828
168	0.1586725857
169	0.1568536826
170	0.1559244267
171	0.1541626325
172	0.1529166246
173	0.1520488321
174	0.1510075439
175	0.1495165376
176	0.1489836307
177	0.1474760308
178	0.1455980131
179	0.1444226037
180	0.1439763282
181	0.1431738443
182	0.1421935816
183	0.1410440369
184	0.1404088614
185	0.1399420038
186	0.1386056871
187	0.1368741273
188	0.1352496952
189	0.1347213889
190	0.1332520856
191	0.1318657566
192	0.1312197612
193	0.129719718
194	0.1286305063
195	0.1272471641
196	0.1257837987
197	0.1244583416
198	0.1233856243
199	0.1223140763
200	0.121087651
201	0.1196500133
202	0.1184736176
203	0.1175937798
204	0.1170492254
205	0.1163371038
206	0.1160507559
207	0.115138777
208	0.1139903571
209	0.1133063335
210	0.1125124386
211	0.1119640143
212	0.1112980165
213	0.1105687141
214	0.1093849502
215	0.108600934
216	0.1079238765
217	0.1071062542
218	0.1063156045
219	0.1056630363
220	0.1049166161
221	0.1045104201
222	0.103603525
223	0.1029137083
224	0.1021488162
225	0.1013678
226	0.1005869399
227	0.09981005412
228	0.09936523831
229	0.09888987124
230	0.09854016493
231	0.09758317599
232	0.09700075214
233	0.09647535882
234	0.09602876709
235	0.09547594583
236	0.09478222889
237	0.09419660251
238	0.0938552621
239	0.09337857088
240	0.09245410737
241	0.0921480898
242	0.09171456229
243	0.09116721279
244	0.0907847605
245	0.09031703196
246	0.08977968891
247	0.08923431084
248	0.08868386093
249	0.08811299649
250	0.08726936419
251	0.08653999777
252	0.08607644531
253	0.08553484624
254	0.08490042007
255	0.08449118586
256	0.08409273836
257	0.08345215822
258	0.08302829662
259	0.08250764756
260	0.08198285164
261	0.0814669566
262	0.08120194196
263	0.08096500104
264	0.0805713882
265	0.08009500945
266	0.07944072992
267	0.07909492247
268	0.07874667031
269	0.07822149033
270	0.07792009596
271	0.07772997863
272	0.07756928785
273	0.07715209079
274	0.07686188911
275	0.07656419233
276	0.07609690007
277	0.07591751027
278	0.0757166667
279	0.07538178346
280	0.07484353466
281	0.07436479345
282	0.07412759791
283	0.07370859482
284	0.07348742731
285	0.07293393442
286	0.07250217147
287	0.07230096747
288	0.07199468953
289	0.07155600014
290	0.07124361151
291	0.07083553328
292	0.07068501012
293	0.07032284341
294	0.07011348336
295	0.06972416494
296	0.06941391839
297	0.06893953204
298	0.06878761372
299	0.06847159716
